Time[s], BUSY
-0.125001735, 0
-0.124990610, 1
-0.124990510, 0
-0.124940595, 1
-0.124939360, 0
-0.124890570, 1
-0.124890510, 0
-0.124840600, 1
-0.124839295, 0
-0.124790610, 1
-0.124790555, 0
-0.124740640, 1
-0.124739335, 0
-0.124690630, 1
-0.124690530, 0
-0.124640615, 1
-0.124639375, 0
-0.124590590, 1
-0.124590535, 0
-0.124540630, 1
-0.124539360, 0
-0.124490660, 1
-0.124490605, 0
-0.124440660, 1
-0.124439380, 0
-0.124390615, 1
-0.124390560, 0
-0.124340670, 1
-0.124339420, 0
-0.124290650, 1
-0.124290595, 0
-0.124240675, 1
-0.124239295, 0
-0.124190655, 1
-0.124190600, 0
-0.124140685, 1
-0.124139350, 0
-0.124090675, 1
-0.124090575, 0
-0.124040690, 1
-0.124039395, 0
-0.123990670, 1
-0.123990615, 0
-0.123940675, 1
-0.123939435, 0
-0.123890645, 1
-0.123890585, 0
-0.123840680, 1
-0.123839425, 0
-0.123790660, 1
-0.123790605, 0
-0.123740685, 1
-0.123739365, 0
-0.123690695, 1
-0.123690635, 0
-0.123640695, 1
-0.123639390, 0
-0.123590665, 1
-0.123590615, 0
-0.123540730, 1
-0.123539445, 0
-0.123490710, 1
-0.123490610, 0
-0.123440735, 1
-0.123439440, 0
-0.123390715, 1
-0.123390660, 0
-0.123340720, 1
-0.123339470, 0
-0.123290690, 1
-0.123290630, 0
-0.123240725, 1
-0.123239470, 0
-0.123190705, 1
-0.123190650, 0
-0.123140760, 1
-0.123139455, 0
-0.123090740, 1
-0.123090685, 0
-0.123040765, 1
-0.123039425, 0
-0.122990760, 1
-0.122990700, 0
-0.122940745, 1
-0.122939420, 0
-0.122890780, 1
-0.122890725, 0
-0.122840780, 1
-0.122839450, 0
-0.122790760, 1
-0.122790705, 0
-0.122740790, 1
-0.122739480, 0
-0.122690770, 1
-0.122690670, 0
-0.122640795, 1
-0.122639530, 0
-0.122590805, 1
-0.122590745, 0
-0.122540805, 1
-0.122539500, 0
-0.122490785, 1
-0.122490730, 0
-0.122440780, 1
-0.122439525, 0
-0.122390795, 1
-0.122390735, 0
-0.122340820, 1
-0.122339545, 0
-0.122290800, 1
-0.122290745, 0
-0.122240795, 1
-0.122239525, 0
-0.122190805, 1
-0.122190750, 0
-0.122140835, 1
-0.122139560, 0
-0.122090790, 1
-0.122090735, 0
-0.122040840, 1
-0.122039530, 0
-0.121990820, 1
-0.121990765, 0
-0.121940820, 1
-0.121939550, 0
-0.121890790, 1
-0.121890735, 0
-0.121840855, 1
-0.121839570, 0
-0.121790810, 1
-0.121790755, 0
-0.121740865, 1
-0.121739525, 0
-0.121690870, 1
-0.121690815, 0
-0.121640870, 1
-0.121639570, 0
-0.121590850, 1
-0.121590795, 0
-0.121540855, 1
-0.121539575, 0
-0.121490825, 1
-0.121490765, 0
-0.121440885, 1
-0.121439540, 0
-0.121390865, 1
-0.121390810, 0
-0.121340895, 1
-0.121339600, 0
-0.121290875, 1
-0.121290820, 0
