Time[s], BUSY
-0.125002025, 0
-0.124990105, 1
-0.124990060, 0
-0.124940140, 1
-0.124938940, 0
-0.124890150, 1
-0.124890105, 0
-0.124840180, 1
-0.124839030, 0
-0.124790185, 1
-0.124790145, 0
-0.124740220, 1
-0.124739065, 0
-0.124690145, 1
-0.124690105, 0
-0.124640225, 1
-0.124639055, 0
-0.124590170, 1
-0.124590130, 0
-0.124540235, 1
-0.124539020, 0
-0.124490210, 1
-0.124490165, 0
-0.124440215, 1
-0.124439105, 0
-0.124390165, 1
-0.124390125, 0
-0.124340250, 1
-0.124339045, 0
-0.124290210, 1
-0.124290170, 0
-0.124240180, 1
-0.124239055, 0
-0.124190205, 1
-0.124190160, 0
-0.124140265, 1
-0.124139075, 0
-0.124090155, 1
-0.124090110, 0
-0.124040205, 1
-0.124039050, 0
-0.123990150, 1
-0.123990105, 0
-0.123940250, 1
-0.123939045, 0
-0.123890220, 1
-0.123890175, 0
-0.123840260, 1
-0.123839165, 0
-0.123790195, 1
-0.123790155, 0
-0.123740270, 1
-0.123739095, 0
-0.123690235, 1
-0.123690190, 0
-0.123640275, 1
-0.123639150, 0
-0.123590280, 1
-0.123590235, 0
-0.123540315, 1
-0.123539160, 0
-0.123490275, 1
-0.123490235, 0
-0.123440285, 1
-0.123439125, 0
-0.123390230, 1
-0.123390185, 0
-0.123340265, 1
-0.123339025, 0
-0.123290305, 1
-0.123290195, 0
-0.123240335, 1
-0.123239240, 0
-0.123190260, 1
-0.123190220, 0
-0.123140345, 1
-0.123139130, 0
-0.123090275, 1
-0.123090230, 0
-0.123040325, 1
-0.123039155, 0
-0.122990295, 1
-0.122990245, 0
-0.122940360, 1
-0.122939180, 0
-0.122890360, 1
-0.122890315, 0
-0.122840285, 1
-0.122839065, 0
-0.122790340, 1
-0.122790300, 0
-0.122740375, 1
-0.122739170, 0
-0.122690350, 1
-0.122690240, 0
-0.122640385, 1
-0.122639285, 0
-0.122590310, 1
-0.122590265, 0
-0.122540390, 1
-0.122539185, 0
-0.122490355, 1
-0.122490310, 0
-0.122440370, 1
-0.122439200, 0
-0.122390390, 1
-0.122390345, 0
-0.122340405, 1
-0.122339255, 0
-0.122290345, 1
-0.122290300, 0
-0.122240375, 1
-0.122239230, 0
-0.122190350, 1
-0.122190310, 0
-0.122140395, 1
-0.122139225, 0
-0.122090390, 1
-0.122090345, 0
-0.122040355, 1
-0.122039310, 0
-0.121990375, 1
-0.121990335, 0
-0.121940410, 1
-0.121939220, 0
-0.121890360, 1
-0.121890315, 0
-0.121840445, 1
-0.121839295, 0
-0.121790400, 1
-0.121790360, 0
-0.121740455, 1
-0.121739325, 0
-0.121690390, 1
-0.121690350, 0
-0.121640425, 1
-0.121639220, 0
-0.121590405, 1
-0.121590365, 0
-0.121540470, 1
-0.121539275, 0
-0.121490410, 1
-0.121490365, 0
-0.121440480, 1
-0.121439375, 0
-0.121390385, 1
-0.121390345, 0
-0.121340425, 1
-0.121339170, 0
-0.121290450, 1
-0.121290405, 0
-0.121240495, 1
-0.121239340, 0
-0.121190435, 1
-0.121190390, 0
-0.121140470, 1
-0.121139345, 0
-0.121090440, 1
-0.121090395, 0
-0.121040470, 1
-0.121039265, 0
-0.120990480, 1
-0.120990440, 0
-0.120940490, 1
-0.120939320, 0
-0.120890490, 1
-0.120890450, 0
-0.120840520, 1
-0.120839355, 0
-0.120790460, 1
-0.120790420, 0
-0.120740505, 1
-0.120739285, 0
-0.120690470, 1
-0.120690430, 0
-0.120640510, 1
-0.120639385, 0
-0.120590490, 1
-0.120590445, 0
-0.120540520, 1
-0.120539310, 0
-0.120490520, 1
-0.120490475, 0
-0.120440520, 1
-0.120439305, 0
-0.120390500, 1
-0.120390460, 0
-0.120340500, 1
-0.120339275, 0
-0.120290565, 1
-0.120290455, 0
-0.120240455, 1
-0.120239345, 0
-0.120190510, 1
-0.120190465, 0
-0.120140580, 1
-0.120139350, 0
-0.120090520, 1
-0.120090475, 0
-0.120040590, 1
-0.120039385, 0
-0.119990530, 1
-0.119990485, 0
-0.119940595, 1
-0.119939425, 0
-0.119890570, 1
-0.119890525, 0
-0.119840565, 1
-0.119839425, 0
-0.119790550, 1
-0.119790505, 0
-0.119740580, 1
-0.119739455, 0
-0.119690610, 1
-0.119690500, 0
-0.119640580, 1
-0.119639450, 0
-0.119590565, 1
-0.119590520, 0
-0.119540600, 1
-0.119539405, 0
-0.119490595, 1
-0.119490555, 0
-0.119440555, 1
-0.119439415, 0
-0.119390635, 1
-0.119390595, 0
-0.119340620, 1
-0.119339445, 0
-0.119290590, 1
-0.119290545, 0
-0.119240650, 1
-0.119239485, 0
-0.119190620, 1
-0.119190580, 0
-0.119140630, 1
-0.119139420, 0
-0.119090590, 1
-0.119090520, 0
-0.119040635, 1
-0.119039530, 0
-0.118990620, 1
-0.118990575, 0
-0.118940675, 1
-0.118939500, 0
-0.118890610, 1
-0.118890570, 0
-0.118840655, 1
-0.118839465, 0
-0.118790630, 1
-0.118790585, 0
-0.118740690, 1
-0.118739560, 0
-0.118690620, 1
-0.118690575, 0
-0.118640700, 1
-0.118639530, 0
-0.118590695, 1
-0.118590650, 0
-0.118540675, 1
-0.118539510, 0
-0.118490670, 1
-0.118490625, 0
-0.118440715, 1
-0.118439570, 0
-0.118390640, 1
-0.118390595, 0
-0.118340720, 1
-0.118339535, 0
-0.118290695, 1
-0.118290650, 0
-0.118240690, 1
-0.118239565, 0
-0.118190645, 1
-0.118190600, 0
-0.118140735, 1
-0.118139605, 0
-0.118090665, 1
-0.118090625, 0
-0.118040740, 1
-0.118039530, 0
-0.117990680, 1
-0.117990635, 0
-0.117940755, 1
-0.117939570, 0
-0.117890695, 1
-0.117890650, 0
-0.117840755, 1
-0.117839580, 0
-0.117790705, 1
-0.117790665, 0
-0.117740705, 1
-0.117739585, 0
-0.117690770, 1
-0.117690695, 0
-0.117640695, 1
-0.117639540, 0
-0.117590730, 1
-0.117590690, 0
-0.117540785, 1
-0.117539620, 0
-0.117490715, 1
-0.117490670, 0
-0.117440720, 1
-0.117439540, 0
-0.117390715, 1
-0.117390665, 0
-0.117340770, 1
-0.117339590, 0
-0.117290800, 1
-0.117290760, 0
-0.117240810, 1
-0.117239695, 0
-0.117190805, 1
-0.117190760, 0
-0.117140815, 1
-0.117139615, 0
-0.117090730, 1
-0.117090685, 0
-0.117040820, 1
-0.117039670, 0
-0.116990795, 1
-0.116990755, 0
-0.116940830, 1
-0.116939650, 0
-0.116890785, 1
-0.116890745, 0
-0.116840755, 1
-0.116839560, 0
-0.116790835, 1
-0.116790795, 0
-0.116740820, 1
-0.116739640, 0
-0.116690815, 1
-0.116690770, 0
-0.116640785, 1
-0.116639660, 0
-0.116590805, 1
-0.116590765, 0
-0.116540840, 1
-0.116539660, 0
-0.116490805, 1
-0.116490760, 0
-0.116440840, 1
-0.116439690, 0
-0.116390820, 1
