Time[s], BUSY
-0.125000350, 0
-0.124990470, 1
-0.124990385, 0
-0.124940495, 1
-0.124936555, 0
-0.124890480, 1
-0.124890425, 0
-0.124840505, 1
-0.124836600, 0
-0.124790485, 1
-0.124790430, 0
-0.124740510, 1
-0.124736630, 0
-0.124690495, 1
-0.124690440, 0
-0.124640520, 1
-0.124636605, 0
-0.124590500, 1
-0.124590420, 0
-0.124540525, 1
-0.124536615, 0
-0.124490510, 1
-0.124490455, 0
-0.124440535, 1
-0.124436585, 0
-0.124390515, 1
-0.124390460, 0
-0.124340540, 1
-0.124336620, 0
-0.124290525, 1
-0.124290440, 0
-0.124240550, 1
-0.124236600, 0
-0.124190530, 1
-0.124190450, 0
-0.124140555, 1
-0.124136645, 0
-0.124090540, 1
-0.124090455, 0
-0.124040565, 1
-0.124036620, 0
-0.123990545, 1
-0.123990495, 0
-0.123940570, 1
-0.123936665, 0
-0.123890555, 1
-0.123890500, 0
-0.123840580, 1
-0.123836700, 0
-0.123790560, 1
-0.123790510, 0
-0.123740585, 1
-0.123736675, 0
-0.123690570, 1
-0.123690485, 0
-0.123640595, 1
-0.123636680, 0
-0.123590575, 1
-0.123590525, 0
-0.123540600, 1
-0.123536720, 0
-0.123490585, 1
-0.123490530, 0
-0.123440610, 1
-0.123436695, 0
-0.123390595, 1
-0.123390510, 0
-0.123340620, 1
-0.123336705, 0
-0.123290600, 1
-0.123290545, 0
-0.123240625, 1
-0.123236645, 0
-0.123190610, 1
-0.123190525, 0
-0.123140635, 1
-0.123136675, 0
-0.123090615, 1
-0.123090530, 0
-0.123040640, 1
-0.123036765, 0
-0.122990625, 1
-0.122990540, 0
-0.122940650, 1
-0.122936740, 0
-0.122890630, 1
-0.122890545, 0
-0.122840655, 1
-0.122836715, 0
-0.122790640, 1
-0.122790585, 0
-0.122740665, 1
-0.122736760, 0
-0.122690645, 1
-0.122690590, 0
-0.122640670, 1
-0.122636790, 0
-0.122590655, 1
-0.122590600, 0
-0.122540680, 1
-0.122536765, 0
-0.122490660, 1
-0.122490580, 0
-0.122440685, 1
-0.122436770, 0
-0.122390670, 1
-0.122390615, 0
-0.122340695, 1
-0.122336715, 0
-0.122290675, 1
-0.122290595, 0
-0.122240700, 1
-0.122236740, 0
-0.122190685, 1
-0.122190600, 0
-0.122140710, 1
-0.122136835, 0
-0.122090690, 1
-0.122090610, 0
-0.122040715, 1
-0.122036805, 0
-0.121990700, 1
-0.121990615, 0
-0.121940725, 1
-0.121936780, 0
-0.121890705, 1
-0.121890655, 0
-0.121840730, 1
-0.121836825, 0
-0.121790715, 1
-0.121790660, 0
-0.121740740, 1
-0.121736860, 0
-0.121690720, 1
-0.121690670, 0
-0.121640745, 1
-0.121636835, 0
-0.121590730, 1
-0.121590645, 0
-0.121540755, 1
-0.121536845, 0
-0.121490740, 1
-0.121490685, 0
-0.121440760, 1
-0.121436810, 0
-0.121390745, 1
-0.121390690, 0
-0.121340770, 1
-0.121336850, 0
-0.121290755, 1
-0.121290670, 0
-0.121240780, 1
-0.121236825, 0
-0.121190760, 1
-0.121190675, 0
-0.121140785, 1
-0.121136875, 0
-0.121090770, 1
-0.121090685, 0
