Time[s], BUSY
-0.124994030, 0
-0.124990580, 1
-0.124990520, 0
-0.124940635, 1
-0.124936800, 0
-0.124890580, 1
-0.124890495, 0
-0.124840645, 1
-0.124836805, 0
-0.124790595, 1
-0.124790535, 0
-0.124740650, 1
-0.124736845, 0
-0.124690625, 1
-0.124690545, 0
-0.124640660, 1
-0.124636845, 0
-0.124590645, 1
-0.124590560, 0
-0.124540670, 1
-0.124536875, 0
-0.124490610, 1
-0.124490525, 0
-0.124440675, 1
-0.124436830, 0
-0.124390625, 1
-0.124390565, 0
-0.124340685, 1
-0.124336845, 0
-0.124290625, 1
-0.124290540, 0
-0.124240690, 1
-0.124236850, 0
-0.124190640, 1
-0.124190580, 0
-0.124140695, 1
-0.124136890, 0
-0.124090670, 1
-0.124090615, 0
-0.124040705, 1
-0.124036890, 0
-0.123990655, 1
-0.123990570, 0
-0.123940710, 1
-0.123936930, 0
-0.123890655, 1
-0.123890570, 0
-0.123840720, 1
-0.123836875, 0
-0.123790670, 1
-0.123790580, 0
-0.123740730, 1
-0.123736890, 0
-0.123690670, 1
-0.123690585, 0
-0.123640735, 1
-0.123636940, 0
-0.123590720, 1
-0.123590635, 0
-0.123540745, 1
-0.123536940, 0
-0.123490685, 1
-0.123490600, 0
-0.123440750, 1
-0.123436900, 0
-0.123390700, 1
-0.123390640, 0
-0.123340760, 1
-0.123336935, 0
-0.123290700, 1
-0.123290640, 0
-0.123240765, 1
-0.123236885, 0
-0.123190715, 1
-0.123190655, 0
-0.123140775, 1
-0.123136965, 0
-0.123090745, 1
-0.123090665, 0
-0.123040780, 1
-0.123036995, 0
-0.122990730, 1
-0.122990670, 0
-0.122940790, 1
-0.122936960, 0
-0.122890730, 1
-0.122890670, 0
-0.122840795, 1
-0.122836980, 0
-0.122790745, 1
-0.122790660, 0
-0.122740805, 1
-0.122736960, 0
-0.122690745, 1
-0.122690660, 0
-0.122640810, 1
-0.122636970, 0
-0.122590795, 1
-0.122590710, 0
-0.122540820, 1
-0.122537015, 0
-0.122490760, 1
-0.122490675, 0
-0.122440825, 1
-0.122436980, 0
-0.122390810, 1
-0.122390750, 0
-0.122340835, 1
-0.122337005, 0
-0.122290775, 1
-0.122290715, 0
-0.122240775, 1
-0.122236985, 0
-0.122190765, 1
-0.122190680, 0
-0.122140850, 1
-0.122137055, 0
-0.122090790, 1
-0.122090730, 0
-0.122040855, 1
-0.122037015, 0
-0.121990805, 1
-0.121990720, 0
-0.121940865, 1
-0.121937060, 0
-0.121890805, 1
-0.121890720, 0
-0.121840870, 1
-0.121837025, 0
-0.121790820, 1
-0.121790735, 0
-0.121740880, 1
-0.121737075, 0
-0.121690820, 1
-0.121690760, 0
-0.121640885, 1
-0.121637075, 0
-0.121590835, 1
-0.121590750, 0
-0.121540895, 1
-0.121537110, 0
-0.121490835, 1
-0.121490750, 0
-0.121440900, 1
-0.121437055, 0
-0.121390850, 1
-0.121390790, 0
-0.121340910, 1
-0.121337100, 0
-0.121290885, 1
-0.121290800, 0
-0.121240915, 1
-0.121237130, 0
-0.121190865, 1
-0.121190805, 0
-0.121140925, 1
-0.121137095, 0
-0.121090865, 1
-0.121090805, 0
-0.121040930, 1
-0.121037115, 0
-0.120990880, 1
-0.120990795, 0
-0.120940940, 1
-0.120937095, 0
-0.120890880, 1
-0.120890820, 0
-0.120840945, 1
-0.120837065, 0
-0.120790895, 1
-0.120790835, 0
-0.120740955, 1
-0.120737145, 0
-0.120690930, 1
-0.120690845, 0
-0.120640960, 1
-0.120637125, 0
-0.120590910, 1
-0.120590825, 0
-0.120540970, 1
-0.120537160, 0
-0.120490910, 1
-0.120490850, 0
-0.120440975, 1
-0.120437130, 0
-0.120390925, 1
-0.120390865, 0
-0.120340985, 1
-0.120337190, 0
-0.120290960, 1
-0.120290875, 0
-0.120240990, 1
-0.120237155, 0
-0.120190940, 1
-0.120190880, 0
-0.120141000, 1
-0.120137190, 0
-0.120090975, 1
-0.120090915, 0
-0.120041005, 1
-0.120037160, 0
-0.119990955, 1
-0.119990875, 0
-0.119941015, 1
-0.119937215, 0
-0.119890955, 1
-0.119890895, 0
-0.119841020, 1
-0.119837210, 0
-0.119790970, 1
-0.119790885, 0
-0.119741030, 1
-0.119737195, 0
-0.119690970, 1
-0.119690885, 0
-0.119641035, 1
-0.119637190, 0
-0.119590985, 1
-0.119590905, 0
-0.119541045, 1
-0.119537245, 0
-0.119490985, 1
-0.119490925, 0
-0.119441050, 1
-0.119437210, 0
-0.119391000, 1
-0.119390920, 0
-0.119341060, 1
-0.119337260, 0
-0.119291000, 1
-0.119290915, 0
-0.119241065, 1
-0.119237255, 0
-0.119191015, 1
-0.119190960, 0
-0.119141075, 1
-0.119137255, 0
-0.119091015, 1
-0.119090955, 0
-0.119041080, 1
-0.119037200, 0
-0.118991030, 1
-0.118990975, 0
-0.118941090, 1
-0.118937250, 0
-0.118891030, 1
-0.118890945, 0
-0.118841095, 1
-0.118837260, 0
-0.118791045, 1
-0.118790990, 0
-0.118741105, 1
-0.118737295, 0
-0.118691080, 1
-0.118690995, 0
-0.118641110, 1
-0.118637300, 0
-0.118591095, 1
-0.118591010, 0
-0.118541120, 1
-0.118537325, 0
-0.118491060, 1
-0.118490975, 0
-0.118441125, 1
-0.118437280, 0
-0.118391075, 1
-0.118391020, 0
-0.118341135, 1
-0.118337295, 0
-0.118291075, 1
-0.118290990, 0
-0.118241140, 1
-0.118237305, 0
-0.118191090, 1
-0.118191035, 0
-0.118141150, 1
-0.118137340, 0
-0.118091125, 1
-0.118091065, 0
-0.118041155, 1
-0.118037345, 0
-0.117991105, 1
-0.117991025, 0
-0.117941165, 1
-0.117937380, 0
-0.117891105, 1
-0.117891020, 0
-0.117841170, 1
-0.117837325, 0
-0.117791120, 1
-0.117791065, 0
-0.117741180, 1
-0.117737370, 0
-0.117691155, 1
-0.117691070, 0
-0.117641185, 1
-0.117637350, 0
-0.117591135, 1
-0.117591055, 0
-0.117541195, 1
-0.117537385, 0
-0.117491135, 1
-0.117491080, 0
-0.117441200, 1
-0.117437355, 0
-0.117391150, 1
-0.117391095, 0
-0.117341210, 1
-0.117337415, 0
-0.117291185, 1
-0.117291100, 0
-0.117241220, 1
-0.117237385, 0
-0.117191165, 1
-0.117191110, 0
-0.117141225, 1
-0.117137415, 0
-0.117091200, 1
-0.117091140, 0
-0.117041235, 1
-0.117037385, 0
-0.116991180, 1
-0.116991100, 0
-0.116941240, 1
-0.116937440, 0
-0.116891180, 1
-0.116891125, 0
-0.116841250, 1
-0.116837440, 0
-0.116791195, 1
-0.116791115, 0
-0.116741255, 1
-0.116737420, 0
-0.116691195, 1
-0.116691115, 0
-0.116641265, 1
-0.116637415, 0
-0.116591210, 1
-0.116591130, 0
-0.116541270, 1
-0.116537470, 0
-0.116491210, 1
-0.116491155, 0
-0.116441280, 1
-0.116437435, 0
-0.116391225, 1
-0.116391145, 0
-0.116341285, 1
-0.116337485, 0
-0.116291225, 1
-0.116291145, 0
-0.116241295, 1
-0.116237480, 0
-0.116191245, 1
-0.116191185, 0
-0.116141300, 1
-0.116137480, 0
-0.116091240, 1
-0.116091185, 0
-0.116041310, 1
-0.116037430, 0
-0.115991260, 1
-0.115991200, 0
-0.115941315, 1
-0.115937475, 0
-0.115891255, 1
-0.115891175, 0
-0.115841325, 1
-0.115837485, 0
-0.115791275, 1
-0.115791215, 0
-0.115741330, 1
-0.115737520, 0
-0.115691305, 1
-0.115691220, 0
-0.115641340, 1
-0.115637525, 0
-0.115591320, 1
-0.115591235, 0
-0.115541345, 1
-0.115537555, 0
-0.115491285, 1
-0.115491205, 0
-0.115441355, 1
-0.115437505, 0
-0.115391305, 1
-0.115391245, 0
-0.115341360, 1
-0.115337520, 0
-0.115291300, 1
-0.115291220, 0
-0.115241370, 1
-0.115237530, 0
-0.115191320, 1
-0.115191260, 0
-0.115141375, 1
-0.115137565, 0
-0.115091350, 1
-0.115091290, 0
-0.115041385, 1
-0.115037570, 0
-0.114991335, 1
-0.114991250, 0
-0.114941390, 1
-0.114937605, 0
-0.114891330, 1
-0.114891250, 0
-0.114841400, 1
-0.114837550, 0
-0.114791350, 1
-0.114791290, 0
-0.114741405, 1
-0.114737595, 0
-0.114691380, 1
-0.114691295, 0
-0.114641415, 1
-0.114637575, 0
-0.114591365, 1
-0.114591280, 0
-0.114541420, 1
-0.114537610, 0
-0.114491360, 1
-0.114491305, 0
-0.114441430, 1
-0.114437580, 0
-0.114391380, 1
-0.114391320, 0
-0.114341435, 1
-0.114337645, 0
-0.114291410, 1
-0.114291325, 0
-0.114241445, 1
-0.114237610, 0
-0.114191395, 1
-0.114191335, 0
-0.114141450, 1
-0.114137640, 0
-0.114091425, 1
-0.114091365, 0
-0.114041460, 1
-0.114037610, 0
-0.113991410, 1
-0.113991325, 0
-0.113941465, 1
-0.113937665, 0
-0.113891410, 1
-0.113891350, 0
-0.113841475, 1
-0.113837665, 0
-0.113791425, 1
-0.113791340, 0
-0.113741480, 1
-0.113737645, 0
-0.113691425, 1
-0.113691340, 0
-0.113641490, 1
-0.113637640, 0
-0.113591440, 1
-0.113591355, 0
-0.113541495, 1
-0.113537695, 0
-0.113491435, 1
-0.113491380, 0
-0.113441505, 1
-0.113437660, 0
-0.113391455, 1
-0.113391370, 0
-0.113341510, 1
-0.113337710, 0
-0.113291455, 1
-0.113291370, 0
-0.113241520, 1
-0.113237705, 0
-0.113191470, 1
-0.113191410, 0
-0.113141525, 1
-0.113137705, 0
-0.113091470, 1
-0.113091410, 0
-0.113041535, 1
-0.113037655, 0
-0.112991485, 1
-0.112991425, 0
-0.112941540, 1
-0.112937705, 0
-0.112891485, 1
-0.112891400, 0
-0.112841550, 1
-0.112837710, 0
-0.112791500, 1
-0.112791440, 0
-0.112741555, 1
-0.112737745, 0
-0.112691530, 1
-0.112691450, 0
-0.112641565, 1
-0.112637750, 0
-0.112591545, 1
-0.112591465, 0
-0.112541570, 1
-0.112537780, 0
-0.112491515, 1
-0.112491430, 0
-0.112441580, 1
-0.112437730, 0
-0.112391530, 1
-0.112391470, 0
-0.112341585, 1
-0.112337750, 0
-0.112291530, 1
-0.112291445, 0
-0.112241595, 1
-0.112237755, 0
-0.112191545, 1
-0.112191485, 0
-0.112141600, 1
-0.112137795, 0
-0.112091575, 1
-0.112091520, 0
-0.112041610, 1
-0.112037795, 0
-0.111991560, 1
-0.111991475, 0
-0.111941615, 1
-0.111937835, 0
-0.111891560, 1
-0.111891475, 0
-0.111841625, 1
-0.111837780, 0
-0.111791575, 1
-0.111791515, 0
-0.111741630, 1
-0.111737825, 0
-0.111691605, 1
-0.111691525, 0
-0.111641640, 1
-0.111637800, 0
-0.111591590, 1
-0.111591505, 0
-0.111541645, 1
-0.111537840, 0
-0.111491590, 1
-0.111491530, 0
-0.111441655, 1
-0.111437810, 0
-0.111391605, 1
-0.111391545, 0
-0.111341660, 1
-0.111337870, 0
-0.111291635, 1
-0.111291555, 0
-0.111241670, 1
-0.111237835, 0
-0.111191620, 1
-0.111191560, 0
-0.111141675, 1
-0.111137870, 0
-0.111091650, 1
-0.111091595, 0
-0.111041685, 1
-0.111037840, 0
-0.110991635, 1
-0.110991550, 0
-0.110941690, 1
-0.110937890, 0
-0.110891635, 1
-0.110891575, 0
-0.110841700, 1
-0.110837890, 0
-0.110791650, 1
-0.110791565, 0
-0.110741705, 1
-0.110737875, 0
-0.110691650, 1
-0.110691565, 0
-0.110641715, 1
-0.110637870, 0
-0.110591665, 1
-0.110591580, 0
-0.110541725, 1
-0.110537920, 0
-0.110491665, 1
-0.110491605, 0
-0.110441730, 1
-0.110437885, 0
-0.110391680, 1
-0.110391595, 0
-0.110341740, 1
-0.110337935, 0
-0.110291680, 1
-0.110291595, 0
-0.110241745, 1
-0.110237930, 0
-0.110191695, 1
-0.110191635, 0
-0.110141755, 1
-0.110137930, 0
-0.110091695, 1
-0.110091635, 0
-0.110041760, 1
-0.110037880, 0
-0.109991710, 1
-0.109991650, 0
-0.109941770, 1
-0.109937930, 0
-0.109891710, 1
-0.109891625, 0
-0.109841775, 1
-0.109837935, 0
-0.109791725, 1
-0.109791665, 0
-0.109741785, 1
-0.109737975, 0
-0.109691760, 1
-0.109691675, 0
-0.109641790, 1
-0.109637975, 0
-0.109591775, 1
-0.109591690, 0
-0.109541800, 1
-0.109538005, 0
-0.109491740, 1
-0.109491655, 0
-0.109441805, 1
-0.109437960, 0
-0.109391755, 1
-0.109391695, 0
-0.109341815, 1
-0.109337975, 0
-0.109291755, 1
-0.109291670, 0
-0.109241820, 1
-0.109237980, 0
-0.109191770, 1
-0.109191710, 0
-0.109141830, 1
-0.109138020, 0
-0.109091805, 1
-0.109091745, 0
-0.109041835, 1
-0.109038020, 0
-0.108991785, 1
-0.108991700, 0
-0.108941845, 1
-0.108938060, 0
-0.108891785, 1
-0.108891700, 0
-0.108841850, 1
-0.108838005, 0
-0.108791800, 1
-0.108791740, 0
-0.108741860, 1
-0.108738050, 0
-0.108691835, 1
-0.108691750, 0
-0.108641865, 1
-0.108638025, 0
-0.108591815, 1
-0.108591730, 0
-0.108541875, 1
-0.108538065, 0
-0.108491815, 1
-0.108491755, 0
-0.108441880, 1
-0.108438035, 0
-0.108391830, 1
-0.108391770, 0
-0.108341890, 1
-0.108338095, 0
-0.108291865, 1
-0.108291780, 0
-0.108241895, 1
-0.108238060, 0
-0.108191845, 1
-0.108191785, 0
-0.108141905, 1
-0.108138095, 0
-0.108091880, 1
-0.108091820, 0
-0.108041910, 1
-0.108038065, 0
-0.107991860, 1
-0.107991775, 0
-0.107941920, 1
-0.107938115, 0
-0.107891860, 1
-0.107891800, 0
-0.107841925, 1
-0.107838115, 0
-0.107791875, 1
-0.107791790, 0
-0.107741935, 1
-0.107738100, 0
-0.107691875, 1
-0.107691790, 0
-0.107641940, 1
-0.107638095, 0
-0.107591890, 1
-0.107591805, 0
-0.107541950, 1
-0.107538150, 0
-0.107491890, 1
-0.107491830, 0
-0.107441955, 1
-0.107438115, 0
-0.107391905, 1
-0.107391820, 0
-0.107341965, 1
-0.107338165, 0
-0.107291905, 1
-0.107291820, 0
-0.107241970, 1
-0.107238155, 0
-0.107191920, 1
-0.107191860, 0
-0.107141980, 1
-0.107138155, 0
-0.107091920, 1
-0.107091860, 0
-0.107041985, 1
-0.107038105, 0
-0.106991935, 1
-0.106991875, 0
-0.106941995, 1
-0.106938155, 0
-0.106891935, 1
-0.106891850, 0
-0.106842000, 1
-0.106838165, 0
-0.106791950, 1
-0.106791890, 0
-0.106742010, 1
-0.106738200, 0
-0.106691985, 1
-0.106691900, 0
-0.106642015, 1
-0.106638205, 0
-0.106592000, 1
-0.106591915, 0
-0.106542025, 1
-0.106538230, 0
-0.106491965, 1
-0.106491880, 0
-0.106442030, 1
-0.106438185, 0
-0.106391980, 1
-0.106391920, 0
-0.106342040, 1
-0.106338200, 0
-0.106291980, 1
-0.106291895, 0
-0.106242045, 1
-0.106238210, 0
-0.106191995, 1
-0.106191940, 0
-0.106142055, 1
-0.106138245, 0
-0.106092030, 1
-0.106091970, 0
-0.106042060, 1
-0.106038250, 0
-0.105992010, 1
-0.105991930, 0
-0.105942070, 1
-0.105938285, 0
-0.105892010, 1
-0.105891925, 0
-0.105842075, 1
-0.105838230, 0
-0.105792025, 1
-0.105791970, 0
-0.105742085, 1
-0.105738275, 0
-0.105692060, 1
-0.105691975, 0
-0.105642090, 1
-0.105638255, 0
-0.105592040, 1
-0.105591960, 0
-0.105542100, 1
-0.105538290, 0
-0.105492040, 1
-0.105491980, 0
-0.105442105, 1
-0.105438260, 0
-0.105392055, 1
-0.105392000, 0
-0.105342115, 1
-0.105338320, 0
-0.105292090, 1
-0.105292005, 0
-0.105242120, 1
-0.105238290, 0
-0.105192070, 1
-0.105192015, 0
-0.105142130, 1
-0.105138320, 0
-0.105092105, 1
-0.105092045, 0
-0.105042135, 1
-0.105038290, 0
-0.104992085, 1
-0.104992005, 0
-0.104942145, 1
-0.104938345, 0
-0.104892085, 1
-0.104892025, 0
-0.104842150, 1
-0.104838345, 0
-0.104792100, 1
-0.104792020, 0
-0.104742160, 1
-0.104738325, 0
-0.104692100, 1
-0.104692015, 0
-0.104642165, 1
-0.104638320, 0
-0.104592115, 1
-0.104592035, 0
-0.104542175, 1
-0.104538375, 0
-0.104492115, 1
-0.104492055, 0
-0.104442180, 1
-0.104438340, 0
-0.104392130, 1
-0.104392050, 0
-0.104342190, 1
-0.104338390, 0
-0.104292130, 1
-0.104292045, 0
-0.104242195, 1
-0.104238385, 0
-0.104192145, 1
-0.104192090, 0
-0.104142205, 1
-0.104138385, 0
-0.104092145, 1
-0.104092085, 0
-0.104042210, 1
-0.104038330, 0
-0.103992160, 1
-0.103992105, 0
-0.103942220, 1
-0.103938380, 0
-0.103892160, 1
-0.103892075, 0
-0.103842230, 1
-0.103838390, 0
-0.103792175, 1
-0.103792120, 0
-0.103742235, 1
-0.103738425, 0
-0.103692210, 1
-0.103692125, 0
-0.103642245, 1
-0.103638430, 0
-0.103592225, 1
-0.103592140, 0
-0.103542250, 1
-0.103538455, 0
-0.103492190, 1
-0.103492110, 0
-0.103442255, 1
-0.103438410, 0
-0.103392205, 1
-0.103392150, 0
-0.103342265, 1
-0.103338425, 0
-0.103292205, 1
-0.103292125, 0
-0.103242275, 1
-0.103238435, 0
-0.103192220, 1
-0.103192165, 0
-0.103142280, 1
-0.103138470, 0
-0.103092255, 1
-0.103092195, 0
-0.103042290, 1
-0.103038475, 0
-0.102992235, 1
-0.102992155, 0
-0.102942295, 1
-0.102938510, 0
-0.102892235, 1
-0.102892155, 0
-0.102842305, 1
-0.102838455, 0
-0.102792250, 1
-0.102792195, 0
-0.102742310, 1
-0.102738500, 0
-0.102692285, 1
-0.102692200, 0
-0.102642320, 1
-0.102638480, 0
-0.102592265, 1
-0.102592185, 0
-0.102542325, 1
-0.102538515, 0
-0.102492265, 1
-0.102492210, 0
-0.102442335, 1
-0.102438485, 0
-0.102392285, 1
-0.102392225, 0
-0.102342340, 1
-0.102338550, 0
-0.102292315, 1
-0.102292230, 0
-0.102242350, 1
-0.102238515, 0
-0.102192300, 1
-0.102192240, 0
-0.102142355, 1
-0.102138545, 0
-0.102092330, 1
-0.102092270, 0
-0.102042365, 1
-0.102038515, 0
-0.101992315, 1
-0.101992230, 0
-0.101942370, 1
-0.101938570, 0
-0.101892310, 1
-0.101892255, 0
-0.101842380, 1
-0.101838570, 0
-0.101792330, 1
-0.101792245, 0
-0.101742385, 1
-0.101738550, 0
-0.101692325, 1
-0.101692245, 0
-0.101642395, 1
-0.101638545, 0
-0.101592345, 1
-0.101592260, 0
-0.101542400, 1
-0.101538600, 0
-0.101492340, 1
-0.101492285, 0
-0.101442410, 1
-0.101438565, 0
