Time[s], BUSY
-0.125002535, 0
-0.124990605, 1
-0.124986795, 0
-0.124940530, 1
-0.124940445, 0
-0.124890615, 1
-0.124886780, 0
-0.124840540, 1
-0.124840485, 0
-0.124790590, 1
-0.124786785, 0
-0.124740545, 1
-0.124740425, 0
-0.124690630, 1
-0.124686795, 0
-0.124640550, 1
-0.124640430, 0
-0.124590635, 1
-0.124586755, 0
-0.124540610, 1
-0.124540555, 0
-0.124490615, 1
-0.124486815, 0
-0.124440570, 1
-0.124440515, 0
-0.124390620, 1
-0.124386815, 0
-0.124340575, 1
-0.124340520, 0
-0.124290660, 1
-0.124286780, 0
-0.124240635, 1
-0.124240580, 0
-0.124190635, 1
-0.124186840, 0
-0.124140590, 1
-0.124140535, 0
-0.124090645, 1
-0.124086840, 0
-0.124040600, 1
-0.124040545, 0
-0.123990650, 1
-0.123986845, 0
-0.123940605, 1
-0.123940550, 0
-0.123890690, 1
-0.123886825, 0
-0.123840615, 1
-0.123840560, 0
-0.123790695, 1
-0.123786870, 0
-0.123740630, 1
-0.123740575, 0
-0.123690675, 1
-0.123686875, 0
-0.123640630, 1
-0.123640575, 0
-0.123590680, 1
-0.123586885, 0
-0.123540635, 1
-0.123540580, 0
-0.123490690, 1
-0.123486885, 0
-0.123440645, 1
-0.123440590, 0
-0.123390695, 1
-0.123386890, 0
-0.123340650, 1
-0.123340595, 0
-0.123290735, 1
-0.123286880, 0
-0.123240660, 1
-0.123240605, 0
-0.123190740, 1
-0.123186885, 0
-0.123140690, 1
-0.123140635, 0
-0.123090750, 1
-0.123086895, 0
-0.123040675, 1
-0.123040620, 0
-0.122990755, 1
-0.122986865, 0
-0.122940730, 1
-0.122940675, 0
-0.122890735, 1
-0.122886940, 0
-0.122840690, 1
-0.122840635, 0
-0.122790740, 1
-0.122786945, 0
-0.122740695, 1
-0.122740640, 0
-0.122690750, 1
-0.122686945, 0
-0.122640705, 1
-0.122640650, 0
-0.122590755, 1
-0.122586950, 0
-0.122540710, 1
-0.122540655, 0
-0.122490795, 1
-0.122486955, 0
-0.122440745, 1
-0.122440690, 0
-0.122390770, 1
-0.122386975, 0
-0.122340725, 1
-0.122340670, 0
-0.122290810, 1
-0.122286955, 0
-0.122240760, 1
-0.122240635, 0
-0.122190815, 1
-0.122187015, 0
-0.122140740, 1
-0.122140620, 0
-0.122090825, 1
-0.122086935, 0
-0.122040800, 1
-0.122040675, 0
-0.121990830, 1
-0.121987020, 0
-0.121940755, 1
-0.121940670, 0
-0.121890840, 1
-0.121887005, 0
-0.121840765, 1
-0.121840710, 0
-0.121790820, 1
-0.121787010, 0
-0.121740770, 1
-0.121740650, 0
-0.121690855, 1
-0.121687020, 0
-0.121640780, 1
-0.121640660, 0
-0.121590860, 1
-0.121586980, 0
-0.121540835, 1
-0.121540780, 0
-0.121490840, 1
-0.121487045, 0
-0.121440795, 1
-0.121440740, 0
-0.121390850, 1
-0.121387040, 0
-0.121340800, 1
-0.121340745, 0
-0.121290885, 1
-0.121287005, 0
-0.121240860, 1
-0.121240805, 0
-0.121190860, 1
-0.121187065, 0
-0.121140815, 1
-0.121140760, 0
-0.121090870, 1
-0.121087065, 0
-0.121040825, 1
-0.121040770, 0
-0.120990880, 1
-0.120987075, 0
-0.120940830, 1
-0.120940775, 0
-0.120890915, 1
-0.120887050, 0
-0.120840840, 1
-0.120840785, 0
-0.120790920, 1
-0.120787095, 0
-0.120740855, 1
-0.120740800, 0
-0.120690900, 1
-0.120687105, 0
-0.120640855, 1
-0.120640800, 0
-0.120590910, 1
-0.120587110, 0
-0.120540860, 1
-0.120540805, 0
-0.120490915, 1
-0.120487110, 0
-0.120440870, 1
-0.120440815, 0
-0.120390925, 1
-0.120387120, 0
-0.120340875, 1
-0.120340820, 0
-0.120290960, 1
-0.120287105, 0
-0.120240885, 1
-0.120240830, 0
-0.120190965, 1
-0.120187110, 0
-0.120140915, 1
-0.120140860, 0
-0.120090975, 1
-0.120087120, 0
-0.120040900, 1
-0.120040845, 0
-0.119990980, 1
-0.119987095, 0
-0.119940955, 1
-0.119940900, 0
-0.119890960, 1
-0.119887165, 0
-0.119840915, 1
-0.119840860, 0
-0.119790970, 1
-0.119787170, 0
-0.119740920, 1
-0.119740865, 0
-0.119690975, 1
-0.119687170, 0
-0.119640930, 1
-0.119640875, 0
-0.119590985, 1
-0.119587180, 0
-0.119540935, 1
-0.119540880, 0
-0.119491020, 1
-0.119487180, 0
-0.119440970, 1
-0.119440915, 0
-0.119391000, 1
-0.119387200, 0
-0.119340950, 1
-0.119340900, 0
-0.119291035, 1
-0.119287180, 0
-0.119240985, 1
-0.119240865, 0
-0.119191045, 1
-0.119187240, 0
-0.119140965, 1
-0.119140845, 0
-0.119091050, 1
-0.119087160, 0
-0.119041025, 1
-0.119040905, 0
-0.118991060, 1
-0.118987250, 0
-0.118940980, 1
-0.118940900, 0
-0.118891065, 1
-0.118887230, 0
-0.118840990, 1
-0.118840935, 0
-0.118791045, 1
-0.118787240, 0
-0.118740995, 1
-0.118740875, 0
-0.118691080, 1
-0.118687245, 0
-0.118641005, 1
-0.118640885, 0
-0.118591090, 1
-0.118587210, 0
-0.118541060, 1
-0.118541010, 0
-0.118491065, 1
-0.118487270, 0
-0.118441020, 1
-0.118440965, 0
-0.118391075, 1
-0.118387270, 0
-0.118341030, 1
-0.118340975, 0
-0.118291110, 1
-0.118287230, 0
-0.118241085, 1
-0.118241030, 0
-0.118191090, 1
-0.118187290, 0
-0.118141045, 1
-0.118140990, 0
-0.118091095, 1
-0.118087290, 0
-0.118041050, 1
-0.118040995, 0
-0.117991105, 1
-0.117987300, 0
-0.117941060, 1
-0.117941005, 0
-0.117891140, 1
-0.117887275, 0
-0.117841065, 1
-0.117841010, 0
-0.117791150, 1
-0.117787320, 0
-0.117741080, 1
-0.117741025, 0
-0.117691125, 1
-0.117687330, 0
-0.117641080, 1
-0.117641025, 0
-0.117591135, 1
-0.117587335, 0
-0.117541090, 1
-0.117541035, 0
-0.117491140, 1
-0.117487335, 0
-0.117441095, 1
-0.117441040, 0
-0.117391150, 1
-0.117387345, 0
-0.117341105, 1
-0.117341050, 0
-0.117291185, 1
-0.117287330, 0
-0.117241110, 1
-0.117241055, 0
-0.117191195, 1
