Time[s], BUSY
-0.125000840, 0
-0.124990580, 1
-0.124990525, 0
-0.124940595, 1
-0.124937110, 0
-0.124890585, 1
-0.124890530, 0
-0.124840605, 1
-0.124837120, 0
-0.124790595, 1
-0.124790540, 0
-0.124740610, 1
-0.124737115, 0
-0.124690600, 1
-0.124690545, 0
-0.124640615, 1
-0.124637120, 0
-0.124590610, 1
-0.124590555, 0
-0.124540625, 1
-0.124537130, 0
-0.124490615, 1
-0.124490560, 0
-0.124440635, 1
-0.124437150, 0
-0.124390625, 1
-0.124390570, 0
-0.124340640, 1
-0.124337155, 0
-0.124290630, 1
-0.124290575, 0
-0.124240650, 1
-0.124237150, 0
-0.124190640, 1
-0.124190585, 0
-0.124140655, 1
-0.124137160, 0
-0.124090645, 1
-0.124090590, 0
-0.124040665, 1
-0.124037165, 0
-0.123990655, 1
-0.123990600, 0
-0.123940670, 1
-0.123937175, 0
-0.123890660, 1
-0.123890605, 0
-0.123840680, 1
-0.123837195, 0
-0.123790670, 1
-0.123790615, 0
-0.123740685, 1
-0.123737200, 0
-0.123690675, 1
-0.123690620, 0
-0.123640695, 1
-0.123637195, 0
-0.123590685, 1
-0.123590630, 0
-0.123540700, 1
-0.123537205, 0
-0.123490690, 1
-0.123490640, 0
-0.123440710, 1
-0.123437210, 0
-0.123390700, 1
-0.123390645, 0
-0.123340715, 1
-0.123337230, 0
-0.123290705, 1
-0.123290655, 0
-0.123240725, 1
-0.123237240, 0
-0.123190715, 1
-0.123190660, 0
-0.123140730, 1
-0.123137235, 0
-0.123090720, 1
-0.123090670, 0
-0.123040740, 1
-0.123037240, 0
-0.122990730, 1
-0.122990675, 0
-0.122940745, 1
-0.122937250, 0
-0.122890735, 1
-0.122890685, 0
-0.122840755, 1
-0.122837255, 0
-0.122790745, 1
-0.122790690, 0
-0.122740760, 1
-0.122737275, 0
-0.122690750, 1
-0.122690700, 0
-0.122640770, 1
-0.122637285, 0
-0.122590760, 1
-0.122590705, 0
-0.122540775, 1
-0.122537280, 0
-0.122490765, 1
-0.122490715, 0
-0.122440785, 1
-0.122437285, 0
-0.122390775, 1
-0.122390720, 0
-0.122340790, 1
-0.122337295, 0
-0.122290780, 1
-0.122290730, 0
-0.122240800, 1
-0.122237315, 0
-0.122190790, 1
-0.122190735, 0
-0.122140805, 1
-0.122137320, 0
-0.122090800, 1
-0.122090745, 0
-0.122040815, 1
-0.122037315, 0
-0.121990805, 1
-0.121990750, 0
-0.121940820, 1
-0.121937335, 0
-0.121890815, 1
-0.121890760, 0
-0.121840830, 1
-0.121837345, 0
-0.121790820, 1
-0.121790765, 0
-0.121740835, 1
-0.121737340, 0
-0.121690825, 1
-0.121690775, 0
-0.121640845, 1
-0.121637345, 0
-0.121590835, 1
-0.121590780, 0
-0.121540850, 1
-0.121537355, 0
-0.121490845, 1
-0.121490790, 0
-0.121440860, 1
-0.121437375, 0
-0.121390850, 1
-0.121390795, 0
-0.121340865, 1
-0.121337380, 0
-0.121290860, 1
-0.121290805, 0
-0.121240875, 1
-0.121237375, 0
-0.121190865, 1
-0.121190810, 0
