Time[s], BUSY
-0.124999700, 0
-0.124990005, 1
-0.124989950, 0
-0.124940030, 1
-0.124935835, 0
-0.124890015, 1
-0.124889955, 0
-0.124839990, 1
-0.124835830, 0
-0.124790025, 1
-0.124789965, 0
-0.124740050, 1
-0.124735945, 0
-0.124690030, 1
-0.124689975, 0
-0.124640055, 1
-0.124635955, 0
-0.124590040, 1
-0.124589955, 0
-0.124540065, 1
-0.124535970, 0
-0.124490045, 1
-0.124489990, 0
-0.124440070, 1
-0.124435875, 0
-0.124390055, 1
-0.124389995, 0
-0.124340080, 1
-0.124335885, 0
-0.124290065, 1
-0.124290005, 0
-0.124240040, 1
-0.124235880, 0
-0.124190070, 1
-0.124190015, 0
-0.124140095, 1
-0.124135995, 0
-0.124090080, 1
-0.124090020, 0
-0.124040105, 1
-0.124036005, 0
-0.123990085, 1
-0.123990005, 0
-0.123940110, 1
-0.123935945, 0
-0.123890095, 1
-0.123890035, 0
-0.123840120, 1
-0.123835990, 0
-0.123790105, 1
-0.123790020, 0
-0.123740130, 1
-0.123736050, 0
-0.123690110, 1
-0.123690055, 0
-0.123640135, 1
-0.123636045, 0
-0.123590120, 1
-0.123590035, 0
-0.123540145, 1
-0.123536050, 0
-0.123490125, 1
-0.123490070, 0
-0.123440150, 1
-0.123435995, 0
-0.123390135, 1
-0.123390050, 0
-0.123340160, 1
-0.123336060, 0
-0.123290145, 1
-0.123290060, 0
-0.123240170, 1
-0.123236065, 0
-0.123190150, 1
-0.123190095, 0
-0.123140175, 1
-0.123136075, 0
-0.123090160, 1
-0.123090075, 0
-0.123040185, 1
-0.123036090, 0
-0.122990165, 1
-0.122990110, 0
-0.122940190, 1
-0.122935995, 0
-0.122890175, 1
-0.122890090, 0
-0.122840200, 1
-0.122836100, 0
-0.122790185, 1
-0.122790100, 0
-0.122740210, 1
-0.122736105, 0
-0.122690190, 1
-0.122690135, 0
-0.122640215, 1
-0.122636115, 0
-0.122590200, 1
-0.122590115, 0
-0.122540225, 1
-0.122536150, 0
-0.122490205, 1
-0.122490150, 0
-0.122440230, 1
-0.122436045, 0
-0.122390215, 1
-0.122390155, 0
-0.122340190, 1
-0.122336095, 0
-0.122290225, 1
-0.122290165, 0
-0.122240250, 1
-0.122236080, 0
-0.122190230, 1
-0.122190175, 0
-0.122140255, 1
-0.122136125, 0
-0.122090240, 1
-0.122090155, 0
-0.122040265, 1
-0.122036170, 0
-0.121990245, 1
-0.121990190, 0
-0.121940270, 1
-0.121936075, 0
-0.121890255, 1
-0.121890195, 0
-0.121840230, 1
-0.121836070, 0
-0.121790265, 1
-0.121790205, 0
-0.121740290, 1
-0.121736185, 0
-0.121690270, 1
-0.121690215, 0
-0.121640295, 1
-0.121636195, 0
-0.121590280, 1
-0.121590195, 0
-0.121540305, 1
-0.121536210, 0
-0.121490285, 1
-0.121490230, 0
-0.121440310, 1
-0.121436115, 0
-0.121390295, 1
-0.121390235, 0
-0.121340320, 1
-0.121336125, 0
-0.121290305, 1
-0.121290245, 0
-0.121240280, 1
-0.121236120, 0
-0.121190310, 1
-0.121190255, 0
-0.121140335, 1
-0.121136235, 0
-0.121090320, 1
-0.121090260, 0
-0.121040345, 1
-0.121036245, 0
-0.120990325, 1
-0.120990245, 0
-0.120940350, 1
-0.120936185, 0
-0.120890335, 1
-0.120890275, 0
-0.120840360, 1
-0.120836230, 0
-0.120790345, 1
-0.120790260, 0
-0.120740370, 1
-0.120736290, 0
-0.120690350, 1
-0.120690295, 0
-0.120640375, 1
-0.120636285, 0
-0.120590360, 1
-0.120590275, 0
-0.120540385, 1
-0.120536290, 0
-0.120490365, 1
-0.120490310, 0
-0.120440390, 1
-0.120436235, 0
-0.120390375, 1
-0.120390290, 0
-0.120340400, 1
-0.120336300, 0
-0.120290385, 1
-0.120290300, 0
-0.120240410, 1
-0.120236305, 0
-0.120190390, 1
-0.120190335, 0
-0.120140415, 1
-0.120136315, 0
-0.120090400, 1
-0.120090315, 0
-0.120040425, 1
-0.120036330, 0
-0.119990405, 1
-0.119990350, 0
-0.119940430, 1
-0.119936235, 0
-0.119890415, 1
-0.119890330, 0
-0.119840440, 1
-0.119836340, 0
-0.119790425, 1
-0.119790340, 0
-0.119740450, 1
-0.119736345, 0
-0.119690430, 1
-0.119690375, 0
-0.119640455, 1
-0.119636355, 0
-0.119590440, 1
-0.119590355, 0
-0.119540465, 1
-0.119536390, 0
-0.119490445, 1
-0.119490390, 0
-0.119440470, 1
-0.119436285, 0
-0.119390455, 1
-0.119390395, 0
-0.119340430, 1
-0.119336335, 0
-0.119290465, 1
-0.119290405, 0
-0.119240490, 1
-0.119236320, 0
-0.119190470, 1
-0.119190415, 0
-0.119140495, 1
-0.119136365, 0
-0.119090480, 1
-0.119090395, 0
-0.119040505, 1
-0.119036410, 0
-0.118990485, 1
-0.118990430, 0
-0.118940510, 1
-0.118936315, 0
-0.118890495, 1
-0.118890435, 0
-0.118840470, 1
-0.118836310, 0
-0.118790505, 1
-0.118790445, 0
-0.118740530, 1
-0.118736425, 0
-0.118690510, 1
-0.118690455, 0
-0.118640535, 1
-0.118636435, 0
-0.118590520, 1
-0.118590435, 0
-0.118540545, 1
-0.118536450, 0
-0.118490525, 1
-0.118490470, 0
-0.118440550, 1
-0.118436355, 0
-0.118390535, 1
-0.118390475, 0
-0.118340560, 1
-0.118336365, 0
-0.118290545, 1
-0.118290485, 0
-0.118240520, 1
-0.118236360, 0
-0.118190550, 1
-0.118190490, 0
-0.118140575, 1
-0.118136475, 0
-0.118090560, 1
-0.118090500, 0
-0.118040585, 1
-0.118036485, 0
-0.117990565, 1
-0.117990485, 0
-0.117940590, 1
-0.117936425, 0
-0.117890575, 1
-0.117890515, 0
-0.117840600, 1
-0.117836470, 0
-0.117790585, 1
-0.117790500, 0
-0.117740610, 1
-0.117736530, 0
-0.117690590, 1
-0.117690530, 0
-0.117640615, 1
-0.117636525, 0
-0.117590600, 1
-0.117590515, 0
-0.117540625, 1
-0.117536530, 0
-0.117490605, 1
-0.117490550, 0
-0.117440630, 1
-0.117436475, 0
-0.117390615, 1
-0.117390530, 0
-0.117340640, 1
-0.117336540, 0
-0.117290625, 1
-0.117290540, 0
-0.117240650, 1
-0.117236545, 0
-0.117190630, 1
-0.117190570, 0
-0.117140655, 1
-0.117136555, 0
-0.117090640, 1
-0.117090555, 0
-0.117040665, 1
-0.117036570, 0
-0.116990645, 1
-0.116990590, 0
-0.116940670, 1
-0.116936475, 0
-0.116890655, 1
-0.116890570, 0
-0.116840680, 1
-0.116836580, 0
-0.116790665, 1
-0.116790580, 0
-0.116740690, 1
-0.116736585, 0
-0.116690670, 1
-0.116690610, 0
-0.116640695, 1
-0.116636595, 0
-0.116590680, 1
-0.116590595, 0
-0.116540705, 1
-0.116536630, 0
-0.116490685, 1
-0.116490630, 0
-0.116440710, 1
-0.116436525, 0
-0.116390695, 1
-0.116390635, 0
-0.116340670, 1
-0.116336575, 0
-0.116290705, 1
-0.116290645, 0
-0.116240730, 1
-0.116236560, 0
-0.116190710, 1
-0.116190650, 0
-0.116140735, 1
-0.116136605, 0
-0.116090720, 1
-0.116090635, 0
-0.116040745, 1
-0.116036650, 0
-0.115990725, 1
-0.115990670, 0
-0.115940750, 1
-0.115936555, 0
-0.115890735, 1
-0.115890675, 0
-0.115840710, 1
-0.115836550, 0
-0.115790745, 1
-0.115790685, 0
-0.115740770, 1
-0.115736665, 0
-0.115690750, 1
-0.115690690, 0
-0.115640775, 1
-0.115636675, 0
-0.115590760, 1
-0.115590675, 0
-0.115540785, 1
-0.115536690, 0
-0.115490765, 1
-0.115490710, 0
-0.115440790, 1
-0.115436595, 0
-0.115390775, 1
-0.115390715, 0
-0.115340800, 1
-0.115336605, 0
-0.115290785, 1
-0.115290725, 0
-0.115240760, 1
-0.115236600, 0
-0.115190790, 1
-0.115190730, 0
-0.115140815, 1
-0.115136715, 0
-0.115090800, 1
-0.115090740, 0
-0.115040825, 1
-0.115036725, 0
-0.114990805, 1
-0.114990725, 0
-0.114940830, 1
-0.114936665, 0
-0.114890815, 1
-0.114890755, 0
-0.114840840, 1
-0.114836710, 0
-0.114790825, 1
-0.114790740, 0
-0.114740850, 1
-0.114736770, 0
-0.114690830, 1
-0.114690770, 0
-0.114640855, 1
-0.114636765, 0
-0.114590840, 1
-0.114590755, 0
-0.114540865, 1
-0.114536770, 0
-0.114490845, 1
-0.114490790, 0
-0.114440870, 1
-0.114436715, 0
-0.114390855, 1
-0.114390770, 0
-0.114340880, 1
-0.114336780, 0
-0.114290865, 1
-0.114290780, 0
-0.114240890, 1
-0.114236785, 0
-0.114190870, 1
-0.114190810, 0
-0.114140895, 1
-0.114136795, 0
-0.114090880, 1
-0.114090795, 0
-0.114040905, 1
-0.114036810, 0
-0.113990885, 1
-0.113990830, 0
-0.113940910, 1
-0.113936715, 0
-0.113890895, 1
-0.113890810, 0
-0.113840920, 1
-0.113836820, 0
-0.113790905, 1
-0.113790820, 0
-0.113740930, 1
-0.113736825, 0
-0.113690910, 1
-0.113690855, 0
-0.113640935, 1
-0.113636835, 0
-0.113590920, 1
-0.113590835, 0
-0.113540945, 1
-0.113536870, 0
-0.113490925, 1
-0.113490870, 0
-0.113440950, 1
-0.113436765, 0
-0.113390935, 1
-0.113390875, 0
-0.113340910, 1
-0.113336815, 0
-0.113290945, 1
-0.113290885, 0
-0.113240970, 1
-0.113236800, 0
-0.113190950, 1
-0.113190890, 0
-0.113140975, 1
-0.113136845, 0
-0.113090960, 1
-0.113090875, 0
-0.113040985, 1
-0.113036890, 0
-0.112990965, 1
-0.112990910, 0
-0.112940990, 1
-0.112936795, 0
-0.112890975, 1
-0.112890915, 0
-0.112840950, 1
-0.112836790, 0
-0.112790985, 1
-0.112790925, 0
-0.112741005, 1
-0.112736905, 0
-0.112690990, 1
-0.112690930, 0
-0.112641015, 1
-0.112636915, 0
-0.112591000, 1
-0.112590915, 0
-0.112541025, 1
-0.112536930, 0
-0.112491005, 1
-0.112490950, 0
-0.112441030, 1
-0.112436835, 0
-0.112391015, 1
-0.112390955, 0
-0.112341040, 1
-0.112336845, 0
-0.112291025, 1
-0.112290965, 0
-0.112241000, 1
-0.112236840, 0
-0.112191030, 1
-0.112190970, 0
-0.112141055, 1
-0.112136955, 0
-0.112091040, 1
-0.112090980, 0
-0.112041065, 1
-0.112036960, 0
-0.111991045, 1
-0.111990965, 0
-0.111941070, 1
-0.111936905, 0
-0.111891055, 1
-0.111890995, 0
-0.111841080, 1
-0.111836950, 0
-0.111791065, 1
-0.111790980, 0
-0.111741090, 1
-0.111737010, 0
-0.111691070, 1
-0.111691010, 0
-0.111641095, 1
-0.111637005, 0
-0.111591080, 1
-0.111590995, 0
-0.111541105, 1
-0.111537010, 0
-0.111491085, 1
-0.111491030, 0
-0.111441110, 1
-0.111436955, 0
-0.111391095, 1
-0.111391010, 0
-0.111341120, 1
-0.111337020, 0
-0.111291105, 1
-0.111291020, 0
-0.111241130, 1
-0.111237025, 0
-0.111191110, 1
-0.111191050, 0
-0.111141135, 1
-0.111137035, 0
-0.111091120, 1
-0.111091035, 0
-0.111041145, 1
-0.111037050, 0
-0.110991125, 1
-0.110991070, 0
-0.110941150, 1
-0.110936955, 0
-0.110891135, 1
-0.110891050, 0
-0.110841160, 1
-0.110837060, 0
-0.110791145, 1
-0.110791060, 0
-0.110741170, 1
-0.110737065, 0
-0.110691150, 1
-0.110691090, 0
-0.110641175, 1
-0.110637075, 0
-0.110591160, 1
-0.110591075, 0
-0.110541185, 1
-0.110537105, 0
-0.110491165, 1
-0.110491110, 0
-0.110441190, 1
-0.110437005, 0
-0.110391175, 1
-0.110391115, 0
-0.110341150, 1
-0.110337055, 0
-0.110291185, 1
-0.110291125, 0
-0.110241205, 1
-0.110237040, 0
-0.110191190, 1
-0.110191130, 0
-0.110141215, 1
-0.110137085, 0
-0.110091200, 1
-0.110091115, 0
-0.110041225, 1
-0.110037130, 0
-0.109991205, 1
-0.109991150, 0
-0.109941230, 1
-0.109937035, 0
-0.109891215, 1
-0.109891155, 0
-0.109841190, 1
-0.109837030, 0
-0.109791225, 1
-0.109791165, 0
-0.109741245, 1
-0.109737145, 0
-0.109691230, 1
-0.109691170, 0
-0.109641255, 1
-0.109637155, 0
-0.109591240, 1
-0.109591155, 0
-0.109541265, 1
-0.109537170, 0
-0.109491245, 1
-0.109491190, 0
-0.109441270, 1
-0.109437075, 0
-0.109391255, 1
-0.109391195, 0
-0.109341280, 1
-0.109337085, 0
-0.109291265, 1
-0.109291205, 0
-0.109241235, 1
-0.109237080, 0
-0.109191270, 1
-0.109191210, 0
-0.109141295, 1
-0.109137195, 0
-0.109091280, 1
-0.109091220, 0
-0.109041305, 1
-0.109037200, 0
-0.108991285, 1
-0.108991205, 0
-0.108941310, 1
-0.108937145, 0
-0.108891295, 1
-0.108891235, 0
-0.108841320, 1
-0.108837190, 0
-0.108791305, 1
-0.108791220, 0
-0.108741330, 1
-0.108737250, 0
-0.108691310, 1
-0.108691250, 0
-0.108641335, 1
-0.108637245, 0
-0.108591320, 1
-0.108591235, 0
-0.108541345, 1
-0.108537250, 0
-0.108491325, 1
-0.108491270, 0
-0.108441350, 1
-0.108437195, 0
-0.108391335, 1
-0.108391250, 0
-0.108341360, 1
-0.108337260, 0
-0.108291345, 1
-0.108291260, 0
-0.108241365, 1
-0.108237265, 0
-0.108191350, 1
-0.108191290, 0
-0.108141375, 1
-0.108137275, 0
-0.108091360, 1
-0.108091275, 0
-0.108041385, 1
-0.108037290, 0
-0.107991365, 1
-0.107991310, 0
-0.107941390, 1
-0.107937195, 0
-0.107891375, 1
-0.107891290, 0
-0.107841400, 1
-0.107837300, 0
-0.107791385, 1
-0.107791300, 0
-0.107741405, 1
-0.107737305, 0
-0.107691390, 1
-0.107691330, 0
-0.107641415, 1
-0.107637315, 0
-0.107591400, 1
-0.107591315, 0
-0.107541425, 1
-0.107537345, 0
-0.107491405, 1
-0.107491350, 0
-0.107441430, 1
-0.107437245, 0
-0.107391415, 1
-0.107391355, 0
-0.107341390, 1
-0.107337295, 0
-0.107291425, 1
-0.107291365, 0
-0.107241450, 1
-0.107237280, 0
-0.107191430, 1
-0.107191370, 0
-0.107141455, 1
-0.107137325, 0
-0.107091440, 1
-0.107091355, 0
-0.107041465, 1
-0.107037370, 0
-0.106991445, 1
-0.106991390, 0
-0.106941470, 1
-0.106937275, 0
-0.106891455, 1
-0.106891395, 0
-0.106841430, 1
-0.106837270, 0
-0.106791465, 1
-0.106791405, 0
-0.106741485, 1
-0.106737385, 0
-0.106691470, 1
-0.106691410, 0
-0.106641495, 1
-0.106637395, 0
-0.106591480, 1
-0.106591395, 0
-0.106541505, 1
-0.106537410, 0
-0.106491485, 1
-0.106491430, 0
-0.106441510, 1
-0.106437315, 0
-0.106391495, 1
-0.106391435, 0
-0.106341520, 1
-0.106337325, 0
-0.106291500, 1
-0.106291445, 0
-0.106241475, 1
-0.106237320, 0
-0.106191510, 1
-0.106191450, 0
-0.106141535, 1
-0.106137435, 0
-0.106091520, 1
-0.106091460, 0
-0.106041545, 1
-0.106037440, 0
-0.105991525, 1
-0.105991445, 0
-0.105941550, 1
-0.105937385, 0
-0.105891535, 1
-0.105891475, 0
-0.105841560, 1
-0.105837430, 0
-0.105791545, 1
-0.105791460, 0
-0.105741565, 1
-0.105737490, 0
-0.105691550, 1
-0.105691490, 0
-0.105641575, 1
-0.105637485, 0
-0.105591560, 1
-0.105591475, 0
-0.105541585, 1
-0.105537490, 0
-0.105491565, 1
-0.105491510, 0
-0.105441590, 1
-0.105437435, 0
-0.105391575, 1
-0.105391490, 0
